date,heure,consomation
2021-11-23,00:00,3410.0
2021-11-23,00:10,3504.0
2021-11-23,00:20,3499.0
2021-11-23,00:30,3538.0
2021-11-23,00:40,3537.0
2021-11-23,00:50,3485.0
2021-11-23,01:00,3514.0
2021-11-23,01:10,3549.0
2021-11-23,01:20,3536.0
2021-11-23,01:30,3561.0
2021-11-23,01:40,3619.0
2021-11-23,01:50,3610.0
2021-11-23,02:00,3610.0
2021-11-23,02:10,3609.0
2021-11-23,02:20,3571.0
2021-11-23,02:30,3615.0
2021-11-23,02:40,3530.0
2021-11-23,02:50,3564.0
2021-11-23,03:00,3559.0
2021-11-23,03:10,3545.0
2021-11-23,03:20,3576.0
2021-11-23,03:30,3528.0
2021-11-23,03:40,3511.0
2021-11-23,03:50,3548.0
2021-11-23,04:00,3508.0
2021-11-23,04:10,3497.0
2021-11-23,04:20,3526.0
2021-11-23,04:30,3513.0
2021-11-23,04:40,3516.0
2021-11-23,04:50,3478.0
2021-11-23,05:00,3475.0
2021-11-23,05:10,3478.0
2021-11-23,05:20,3461.0
2021-11-23,05:30,3405.0
2021-11-23,05:40,3360.0
2021-11-23,05:50,3387.0
2021-11-23,06:00,3453.0
2021-11-23,06:10,3444.0
2021-11-23,06:20,3480.0
2021-11-23,06:30,3480.0
2021-11-23,06:40,3396.0
2021-11-23,06:50,3372.0
2021-11-23,07:00,3430.0
2021-11-23,07:10,3451.0
2021-11-23,07:20,3497.0
2021-11-23,07:30,3516.0
2021-11-23,07:40,3516.0
2021-11-23,07:50,3477.0
2021-11-23,08:00,3500.0
2021-11-23,08:10,3484.0
2021-11-23,08:20,3476.0
2021-11-23,08:30,3463.0
2021-11-23,08:40,3545.0
2021-11-23,08:50,3542.0
2021-11-23,09:00,3468.0
2021-11-23,09:10,3403.0
2021-11-23,09:20,3490.0
2021-11-23,09:30,3420.0
2021-11-23,09:40,3468.0
2021-11-23,09:50,3554.0
2021-11-23,10:00,3543.0
2021-11-23,10:10,3496.0
2021-11-23,10:20,3574.0
2021-11-23,10:30,3490.0
2021-11-23,10:40,3396.0
2021-11-23,10:50,3388.0
2021-11-23,11:00,3408.0
2021-11-23,11:10,3548.0
2021-11-23,11:20,3585.0
2021-11-23,11:30,3562.0
2021-11-23,11:40,3595.0
2021-11-23,11:50,3569.0
2021-11-23,12:00,3518.0
2021-11-23,12:10,3531.0
2021-11-23,12:20,3631.0
2021-11-23,12:30,3593.0
2021-11-23,12:40,3492.0
2021-11-23,12:50,3453.0
2021-11-23,13:00,3540.0
2021-11-23,13:10,3511.0
2021-11-23,13:20,3562.0
2021-11-23,13:30,3449.0
2021-11-23,13:40,3480.0
2021-11-23,13:50,3441.0
2021-11-23,14:00,3449.0
2021-11-23,14:10,3528.0
2021-11-23,14:20,3519.0
2021-11-23,14:30,3511.0
2021-11-23,14:40,3374.0
2021-11-23,14:50,3391.0
2021-11-23,15:00,3396.0
2021-11-23,15:10,3372.0
2021-11-23,15:20,3370.0
2021-11-23,15:30,3427.0
2021-11-23,15:40,3322.0
2021-11-23,15:50,3329.0
2021-11-23,16:00,3448.0
2021-11-23,16:10,3509.0
2021-11-23,16:20,3531.0
2021-11-23,16:30,3398.0
2021-11-23,16:40,3415.0
2021-11-23,16:50,3473.0
2021-11-23,17:00,3506.0
2021-11-23,17:10,3454.0
2021-11-23,17:20,3422.0
2021-11-23,17:30,3401.0
2021-11-23,17:40,3351.0
2021-11-23,17:50,3362.0
2021-11-23,18:00,3377.0
2021-11-23,18:10,3314.0
2021-11-23,18:20,3353.0
2021-11-23,18:30,3365.0
2021-11-23,18:40,3343.0
2021-11-23,18:50,3374.0
2021-11-23,19:00,3399.0
2021-11-23,19:10,3372.0
2021-11-23,19:20,3386.0
2021-11-23,19:30,3435.0
2021-11-23,19:40,3412.0
2021-11-23,19:50,3384.0
2021-11-23,20:00,3341.0
2021-11-23,20:10,3351.0
2021-11-23,20:20,3379.0
2021-11-23,20:30,3384.0
2021-11-23,20:40,3374.0
2021-11-23,20:50,3348.0
2021-11-23,21:00,3334.0
2021-11-23,21:10,3336.0
2021-11-23,21:20,3362.0
2021-11-23,21:30,3331.0
2021-11-23,21:40,3320.0
