date,heure,consomation
2021-11-23,00:00,210.0
2021-11-23,00:10,211.0
2021-11-23,00:20,210.0
2021-11-23,00:30,211.0
2021-11-23,00:40,211.0
2021-11-23,00:50,210.0
2021-11-23,01:00,211.0
2021-11-23,01:10,214.0
2021-11-23,01:20,220.0
2021-11-23,01:30,219.0
2021-11-23,01:40,219.0
2021-11-23,01:50,220.0
2021-11-23,02:00,219.0
2021-11-23,02:10,222.0
2021-11-23,02:20,222.0
2021-11-23,02:30,222.0
2021-11-23,02:40,221.0
2021-11-23,02:50,223.0
2021-11-23,03:00,222.0
2021-11-23,03:10,223.0
2021-11-23,03:20,222.0
2021-11-23,03:30,223.0
2021-11-23,03:40,222.0
2021-11-23,03:50,220.0
2021-11-23,04:00,227.0
2021-11-23,04:10,227.0
2021-11-23,04:20,227.0
2021-11-23,04:30,227.0
2021-11-23,04:40,238.0
2021-11-23,04:50,238.0
2021-11-23,05:00,239.0
2021-11-23,05:10,239.0
2021-11-23,05:20,238.0
2021-11-23,05:30,237.0
2021-11-23,05:40,264.0
2021-11-23,05:50,267.0
2021-11-23,06:00,266.0
2021-11-23,06:10,266.0
2021-11-23,06:20,266.0
2021-11-23,06:30,267.0
2021-11-23,06:40,268.0
2021-11-23,06:50,276.0
2021-11-23,07:00,278.0
2021-11-23,07:10,287.0
2021-11-23,07:20,287.0
2021-11-23,07:30,283.0
2021-11-23,07:40,283.0
2021-11-23,07:50,299.0
2021-11-23,08:00,300.0
2021-11-23,08:10,301.0
2021-11-23,08:20,308.0
2021-11-23,08:30,328.0
2021-11-23,08:40,360.0
2021-11-23,08:50,331.0
2021-11-23,09:00,341.0
2021-11-23,09:10,348.0
2021-11-23,09:20,351.0
2021-11-23,09:30,338.0
2021-11-23,09:40,336.0
2021-11-23,09:50,336.0
2021-11-23,10:00,332.0
2021-11-23,10:10,331.0
2021-11-23,10:20,327.0
2021-11-23,10:30,350.0
2021-11-23,10:40,335.0
2021-11-23,10:50,346.0
2021-11-23,11:00,347.0
2021-11-23,11:10,344.0
2021-11-23,11:20,313.0
2021-11-23,11:30,351.0
2021-11-23,11:40,319.0
2021-11-23,11:50,337.0
2021-11-23,12:00,359.0
2021-11-23,12:10,371.0
2021-11-23,12:20,352.0
2021-11-23,12:30,394.0
2021-11-23,12:40,342.0
2021-11-23,12:50,392.0
2021-11-23,13:00,347.0
2021-11-23,13:10,383.0
2021-11-23,13:20,356.0
2021-11-23,13:30,373.0
2021-11-23,13:40,373.0
2021-11-23,13:50,353.0
2021-11-23,14:00,384.0
2021-11-23,14:10,347.0
2021-11-23,14:20,385.0
2021-11-23,14:30,351.0
2021-11-23,14:40,393.0
2021-11-23,14:50,365.0
2021-11-23,15:00,383.0
2021-11-23,15:10,381.0
2021-11-23,15:20,373.0
2021-11-23,15:30,393.0
2021-11-23,15:40,361.0
2021-11-23,15:50,393.0
2021-11-23,16:00,357.0
2021-11-23,16:10,369.0
2021-11-23,16:20,369.0
2021-11-23,16:30,367.0
2021-11-23,16:40,370.0
2021-11-23,16:50,368.0
2021-11-23,17:00,371.0
2021-11-23,17:10,354.0
2021-11-23,17:20,357.0
2021-11-23,17:30,378.0
2021-11-23,17:40,355.0
2021-11-23,17:50,377.0
2021-11-23,18:00,374.0
2021-11-23,18:10,373.0
2021-11-23,18:20,372.0
2021-11-23,18:30,372.0
2021-11-23,18:40,386.0
2021-11-23,18:50,350.0
2021-11-23,19:00,374.0
2021-11-23,19:10,387.0
2021-11-23,19:20,376.0
2021-11-23,19:30,370.0
2021-11-23,19:40,388.0
2021-11-23,19:50,350.0
2021-11-23,20:00,388.0
2021-11-23,20:10,376.0
2021-11-23,20:20,367.0
2021-11-23,20:30,345.0
2021-11-23,20:40,331.0
2021-11-23,20:50,332.0
2021-11-23,21:00,326.0
2021-11-23,21:10,322.0
2021-11-23,21:20,320.0
2021-11-23,21:30,315.0
2021-11-23,21:40,295.0
2021-11-23,21:50,281.0
2021-11-23,22:00,275.0
2021-11-23,22:10,272.0
2021-11-23,22:20,270.0
2021-11-23,22:30,272.0
2021-11-23,22:40,264.0
2021-11-23,22:50,273.0
2021-11-23,23:00,273.0
2021-11-23,23:10,274.0
2021-11-23,23:20,274.0
2021-11-23,23:30,271.0
2021-11-23,23:40,272.0
2021-11-23,23:50,272.0
2021-11-24,00:00,258.0
2021-11-24,00:10,255.0
2021-11-24,00:20,256.0
2021-11-24,00:30,258.0
2021-11-24,00:40,258.0
2021-11-24,00:50,258.0
2021-11-24,01:00,257.0
2021-11-24,01:10,268.0
2021-11-24,01:20,275.0
2021-11-24,01:30,272.0
2021-11-24,01:40,273.0
2021-11-24,01:50,273.0
2021-11-24,02:00,271.0
2021-11-24,02:10,270.0
2021-11-24,02:20,271.0
2021-11-24,02:30,270.0
2021-11-24,02:40,271.0
2021-11-24,02:50,264.0
2021-11-24,03:00,267.0
2021-11-24,03:10,267.0
2021-11-24,03:20,267.0
2021-11-24,03:30,266.0
2021-11-24,03:40,267.0
2021-11-24,03:50,267.0
2021-11-24,04:00,267.0
2021-11-24,04:10,270.0
2021-11-24,04:20,274.0
2021-11-24,04:30,274.0
2021-11-24,04:40,280.0
2021-11-24,04:50,281.0
2021-11-24,05:00,281.0
2021-11-24,05:10,280.0
2021-11-24,05:20,279.0
2021-11-24,05:30,281.0
2021-11-24,05:40,303.0
2021-11-24,05:50,307.0
2021-11-24,06:00,309.0
2021-11-24,06:10,311.0
2021-11-24,06:20,311.0
2021-11-24,06:30,313.0
2021-11-24,06:40,316.0
2021-11-24,06:50,317.0
2021-11-24,07:00,315.0
2021-11-24,07:10,315.0
2021-11-24,07:20,312.0
2021-11-24,07:30,268.0
2021-11-24,07:40,293.0
2021-11-24,07:50,315.0
2021-11-24,08:00,337.0
2021-11-24,08:10,384.0
2021-11-24,08:20,403.0
2021-11-24,08:30,371.0
2021-11-24,08:40,390.0
2021-11-24,08:50,385.0
2021-11-24,09:00,373.0
2021-11-24,09:10,372.0
2021-11-24,09:20,370.0
2021-11-24,09:30,368.0
2021-11-24,09:40,358.0
2021-11-24,09:50,360.0
2021-11-24,10:00,362.0
2021-11-24,10:10,381.0
2021-11-24,10:20,369.0
2021-11-24,10:30,360.0
2021-11-24,10:40,379.0
2021-11-24,10:50,379.0
2021-11-24,11:00,357.0
2021-11-24,11:10,370.0
2021-11-24,11:20,380.0
2021-11-24,11:30,372.0
2021-11-24,11:40,357.0
2021-11-24,11:50,387.0
2021-11-24,12:00,366.0
2021-11-24,12:10,373.0
2021-11-24,12:20,376.0
2021-11-24,12:30,349.0
2021-11-24,12:40,383.0
2021-11-24,12:50,383.0
2021-11-24,13:00,357.0
2021-11-24,13:10,381.0
2021-11-24,13:20,372.0
2021-11-24,13:30,360.0
2021-11-24,13:40,371.0
2021-11-24,13:50,351.0
2021-11-24,14:00,376.0
2021-11-24,14:10,344.0
2021-11-24,14:20,377.0
2021-11-24,14:30,356.0
2021-11-24,14:40,387.0
2021-11-24,14:50,370.0
2021-11-24,15:00,376.0
2021-11-24,15:10,370.0
2021-11-24,15:20,389.0
2021-11-24,15:30,392.0
2021-11-24,15:40,393.0
2021-11-24,15:50,366.0
2021-11-24,16:00,403.0
2021-11-24,16:10,388.0
2021-11-24,16:20,363.0
2021-11-24,16:30,397.0
2021-11-24,16:40,360.0
2021-11-24,16:50,394.0
2021-11-24,17:00,364.0
2021-11-24,17:10,407.0
2021-11-24,17:20,379.0
2021-11-24,17:30,390.0
2021-11-24,17:40,397.0
2021-11-24,17:50,373.0
2021-11-24,18:00,372.0
2021-11-24,18:10,393.0
2021-11-24,18:20,380.0
2021-11-24,18:30,370.0
2021-11-24,18:40,385.0
2021-11-24,18:50,383.0
2021-11-24,19:00,376.0
2021-11-24,19:10,379.0
2021-11-24,19:20,365.0
2021-11-24,19:30,383.0
2021-11-24,19:40,349.0
2021-11-24,19:50,346.0
2021-11-24,20:00,337.0
2021-11-24,20:10,335.0
2021-11-24,20:20,330.0
2021-11-24,20:30,328.0
2021-11-24,20:40,326.0
2021-11-24,20:50,327.0
2021-11-24,21:00,329.0
2021-11-24,21:10,321.0
2021-11-24,21:20,316.0
2021-11-24,21:30,300.0
2021-11-24,21:40,293.0
2021-11-24,21:50,289.0
2021-11-24,22:00,263.0
2021-11-24,22:10,238.0
2021-11-24,22:20,175.0
2021-11-24,22:30,255.0
2021-11-24,22:40,261.0
2021-11-24,22:50,263.0
2021-11-24,23:00,263.0
2021-11-24,23:10,262.0
2021-11-24,23:20,263.0
2021-11-24,23:30,264.0
2021-11-24,23:40,266.0
