Horodatage;A | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;33
23/11/2021 00:10;34
23/11/2021 00:20;59
23/11/2021 00:30;40
23/11/2021 00:40;84
23/11/2021 00:50;42
23/11/2021 01:00;38
23/11/2021 01:10;43
23/11/2021 01:20;37
23/11/2021 01:30;57
23/11/2021 01:40;38
23/11/2021 01:50;75
23/11/2021 02:00;57
23/11/2021 02:10;50
23/11/2021 02:20;44
23/11/2021 02:30;47
23/11/2021 02:40;62
23/11/2021 02:50;45
23/11/2021 03:00;51
23/11/2021 03:10;57
23/11/2021 03:20;78
23/11/2021 03:30;40
23/11/2021 03:40;29
23/11/2021 03:50;28
23/11/2021 04:00;60
23/11/2021 04:10;76
23/11/2021 04:20;57
23/11/2021 04:30;48
23/11/2021 04:40;48
23/11/2021 04:50;51
23/11/2021 05:00;60
23/11/2021 05:10;63
23/11/2021 05:20;63
23/11/2021 05:30;54
23/11/2021 05:40;50
23/11/2021 05:50;64
23/11/2021 06:00;62
23/11/2021 06:10;44
23/11/2021 06:20;55
23/11/2021 06:30;74
23/11/2021 06:40;64
23/11/2021 06:50;30
23/11/2021 07:00;40
23/11/2021 07:10;89
23/11/2021 07:20;70
23/11/2021 07:30;56
23/11/2021 07:40;59
23/11/2021 07:50;68
23/11/2021 08:00;86
23/11/2021 08:10;71
23/11/2021 08:20;76
23/11/2021 08:30;66
23/11/2021 08:40;75
23/11/2021 08:50;51
23/11/2021 09:00;68
23/11/2021 09:10;56
23/11/2021 09:20;52
23/11/2021 09:30;55
23/11/2021 09:40;81
23/11/2021 09:50;67
23/11/2021 10:00;67
23/11/2021 10:10;90
23/11/2021 10:20;72
23/11/2021 10:30;38
23/11/2021 10:40;43
23/11/2021 10:50;68
23/11/2021 11:00;70
23/11/2021 11:10;74
23/11/2021 11:20;51
23/11/2021 11:30;59
23/11/2021 11:40;52
23/11/2021 11:50;73
23/11/2021 12:00;65
23/11/2021 12:10;56
23/11/2021 12:20;55
23/11/2021 12:30;62
23/11/2021 12:40;39
23/11/2021 12:50;55
23/11/2021 13:00;61
23/11/2021 13:10;41
23/11/2021 13:20;44
23/11/2021 13:30;53
23/11/2021 13:40;46
23/11/2021 13:50;65
23/11/2021 14:00;45
23/11/2021 14:10;60
23/11/2021 14:20;51
23/11/2021 14:30;37
23/11/2021 14:40;38
23/11/2021 14:50;40
23/11/2021 15:00;39
23/11/2021 15:10;35
23/11/2021 15:20;41
23/11/2021 15:30;87
23/11/2021 15:40;65
23/11/2021 15:50;65
23/11/2021 16:00;41
23/11/2021 16:10;60
23/11/2021 16:20;41
23/11/2021 16:30;52
23/11/2021 16:40;39
23/11/2021 16:50;36
