Horodatage;B | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;63
23/11/2021 00:10;64
23/11/2021 00:20;54
23/11/2021 00:30;57
23/11/2021 00:40;57
23/11/2021 00:50;59
23/11/2021 01:00;57
23/11/2021 01:10;63
23/11/2021 01:20;78
23/11/2021 01:30;58
23/11/2021 01:40;58
23/11/2021 01:50;59
23/11/2021 02:00;62
23/11/2021 02:10;61
23/11/2021 02:20;67
23/11/2021 02:30;66
23/11/2021 02:40;60
23/11/2021 02:50;61
23/11/2021 03:00;62
23/11/2021 03:10;59
23/11/2021 03:20;63
23/11/2021 03:30;75
23/11/2021 03:40;71
23/11/2021 03:50;63
23/11/2021 04:00;62
23/11/2021 04:10;60
23/11/2021 04:20;66
23/11/2021 04:30;63
23/11/2021 04:40;64
23/11/2021 04:50;65
23/11/2021 05:00;71
23/11/2021 05:10;76
23/11/2021 05:20;77
23/11/2021 05:30;110
23/11/2021 05:40;107
23/11/2021 05:50;105
23/11/2021 06:00;104
23/11/2021 06:10;89
23/11/2021 06:20;92
23/11/2021 06:30;90
23/11/2021 06:40;86
23/11/2021 06:50;87
23/11/2021 07:00;87
23/11/2021 07:10;92
23/11/2021 07:20;94
23/11/2021 07:30;92
23/11/2021 07:40;97
23/11/2021 07:50;89
23/11/2021 08:00;80
23/11/2021 08:10;91
23/11/2021 08:20;107
23/11/2021 08:30;112
23/11/2021 08:40;110
23/11/2021 08:50;114
23/11/2021 09:00;125
23/11/2021 09:10;113
23/11/2021 09:20;123
23/11/2021 09:30;127
23/11/2021 09:40;120
23/11/2021 09:50;116
23/11/2021 10:00;115
23/11/2021 10:10;121
23/11/2021 10:20;116
23/11/2021 10:30;109
23/11/2021 10:40;109
23/11/2021 10:50;116
23/11/2021 11:00;114
23/11/2021 11:10;127
23/11/2021 11:20;132
23/11/2021 11:30;127
23/11/2021 11:40;114
23/11/2021 11:50;106
23/11/2021 12:00;103
23/11/2021 12:10;101
23/11/2021 12:20;94
23/11/2021 12:30;102
23/11/2021 12:40;98
23/11/2021 12:50;102
23/11/2021 13:00;101
23/11/2021 13:10;98
23/11/2021 13:20;102
23/11/2021 13:30;100
23/11/2021 13:40;99
23/11/2021 13:50;103
23/11/2021 14:00;101
23/11/2021 14:10;110
23/11/2021 14:20;101
23/11/2021 14:30;98
23/11/2021 14:40;102
23/11/2021 14:50;95
23/11/2021 15:00;95
23/11/2021 15:10;99
23/11/2021 15:20;101
23/11/2021 15:30;93
23/11/2021 15:40;90
23/11/2021 15:50;91
23/11/2021 16:00;95
23/11/2021 16:10;94
23/11/2021 16:20;99
23/11/2021 16:30;92
23/11/2021 16:40;99
23/11/2021 16:50;110
23/11/2021 17:00;117
23/11/2021 17:10;118
23/11/2021 17:20;115
23/11/2021 17:30;109
23/11/2021 17:40;106
23/11/2021 17:50;105
23/11/2021 18:00;95
23/11/2021 18:10;97
23/11/2021 18:20;99
23/11/2021 18:30;101
23/11/2021 18:40;98
23/11/2021 18:50;92
23/11/2021 19:00;75
23/11/2021 19:10;73
23/11/2021 19:20;73
23/11/2021 19:30;73
23/11/2021 19:40;70
23/11/2021 19:50;67
23/11/2021 20:00;68
23/11/2021 20:10;67
23/11/2021 20:20;64
23/11/2021 20:30;64
23/11/2021 20:40;64
23/11/2021 20:50;66
23/11/2021 21:00;62
23/11/2021 21:10;62
23/11/2021 21:20;60
23/11/2021 21:30;60
23/11/2021 21:40;61
23/11/2021 21:50;62
23/11/2021 22:00;59
23/11/2021 22:10;65
23/11/2021 22:20;60
23/11/2021 22:30;59
23/11/2021 22:40;59
23/11/2021 22:50;59
23/11/2021 23:00;59
23/11/2021 23:10;60
23/11/2021 23:20;59
23/11/2021 23:30;60
23/11/2021 23:40;59
23/11/2021 23:50;61
24/11/2021 00:00;65
24/11/2021 00:10;70
24/11/2021 00:20;63
24/11/2021 00:30;60
24/11/2021 00:40;60
24/11/2021 00:50;61
24/11/2021 01:00;58
24/11/2021 01:10;65
24/11/2021 01:20;72
24/11/2021 01:30;67
24/11/2021 01:40;62
24/11/2021 01:50;65
24/11/2021 02:00;71
24/11/2021 02:10;62
24/11/2021 02:20;63
24/11/2021 02:30;74
24/11/2021 02:40;67
24/11/2021 02:50;69
24/11/2021 03:00;70
24/11/2021 03:10;61
24/11/2021 03:20;69
24/11/2021 03:30;71
24/11/2021 03:40;79
24/11/2021 03:50;68
24/11/2021 04:00;64
24/11/2021 04:10;66
24/11/2021 04:20;71
24/11/2021 04:30;83
24/11/2021 04:40;78
24/11/2021 04:50;64
24/11/2021 05:00;77
24/11/2021 05:10;69
24/11/2021 05:20;92
24/11/2021 05:30;116
24/11/2021 05:40;102
24/11/2021 05:50;104
24/11/2021 06:00;100
24/11/2021 06:10;105
24/11/2021 06:20;98
24/11/2021 06:30;93
24/11/2021 06:40;93
24/11/2021 06:50;94
24/11/2021 07:00;96
24/11/2021 07:10;93
24/11/2021 07:20;101
24/11/2021 07:30;105
24/11/2021 07:40;93
24/11/2021 07:50;86
24/11/2021 08:00;87
24/11/2021 08:10;103
24/11/2021 08:20;119
24/11/2021 08:30;123
24/11/2021 08:40;114
24/11/2021 08:50;117
24/11/2021 09:00;118
24/11/2021 09:10;119
24/11/2021 09:20;118
24/11/2021 09:30;121
24/11/2021 09:40;123
24/11/2021 09:50;128
24/11/2021 10:00;119
24/11/2021 10:10;119
24/11/2021 10:20;113
24/11/2021 10:30;124
24/11/2021 10:40;117
24/11/2021 10:50;117
24/11/2021 11:00;115
24/11/2021 11:10;121
24/11/2021 11:20;107
24/11/2021 11:30;109
24/11/2021 11:40;110
24/11/2021 11:50;104
24/11/2021 12:00;100
24/11/2021 12:10;105
24/11/2021 12:20;107
24/11/2021 12:30;112
24/11/2021 12:40;102
24/11/2021 12:50;105
24/11/2021 13:00;112
24/11/2021 13:10;105
24/11/2021 13:20;102
24/11/2021 13:30;102
24/11/2021 13:40;105
24/11/2021 13:50;107
24/11/2021 14:00;103
24/11/2021 14:10;96
24/11/2021 14:20;94
24/11/2021 14:30;95
24/11/2021 14:40;94
24/11/2021 14:50;97
24/11/2021 15:00;97
24/11/2021 15:10;99
24/11/2021 15:20;96
24/11/2021 15:30;94
24/11/2021 15:40;97
24/11/2021 15:50;101
