Horodatage;G | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;8
23/11/2021 00:10;8
23/11/2021 00:20;7
23/11/2021 00:30;8
23/11/2021 00:40;7
23/11/2021 00:50;9
23/11/2021 01:00;9
23/11/2021 01:10;8
23/11/2021 01:20;8
23/11/2021 01:30;8
23/11/2021 01:40;8
23/11/2021 01:50;8
23/11/2021 02:00;7
23/11/2021 02:10;8
23/11/2021 02:20;8
23/11/2021 02:30;8
23/11/2021 02:40;7
23/11/2021 02:50;7
23/11/2021 03:00;8
23/11/2021 03:10;7
23/11/2021 03:20;7
23/11/2021 03:30;7
23/11/2021 03:40;8
23/11/2021 03:50;7
23/11/2021 04:00;6
23/11/2021 04:10;8
23/11/2021 04:20;7
23/11/2021 04:30;8
23/11/2021 04:40;6
23/11/2021 04:50;7
23/11/2021 05:00;7
23/11/2021 05:10;7
23/11/2021 05:20;7
23/11/2021 05:30;7
23/11/2021 05:40;8
23/11/2021 05:50;6
23/11/2021 06:00;8
23/11/2021 06:10;8
23/11/2021 06:20;9
23/11/2021 06:30;14
23/11/2021 06:40;12
23/11/2021 06:50;29
23/11/2021 07:00;11
23/11/2021 07:10;17
23/11/2021 07:20;19
23/11/2021 07:30;19
23/11/2021 07:40;14
23/11/2021 07:50;15
23/11/2021 08:00;14
23/11/2021 08:10;12
23/11/2021 08:20;12
23/11/2021 08:30;13
23/11/2021 08:40;14
23/11/2021 08:50;13
23/11/2021 09:00;15
23/11/2021 09:10;17
23/11/2021 09:20;48
23/11/2021 09:30;49
23/11/2021 09:40;34
23/11/2021 09:50;45
23/11/2021 10:00;43
23/11/2021 10:10;35
23/11/2021 10:20;37
23/11/2021 10:30;39
23/11/2021 10:40;21
23/11/2021 10:50;20
23/11/2021 11:00;27
23/11/2021 11:10;53
23/11/2021 11:20;49
23/11/2021 11:30;34
23/11/2021 11:40;42
23/11/2021 11:50;38
23/11/2021 12:00;33
23/11/2021 12:10;28
23/11/2021 12:20;27
23/11/2021 12:30;32
23/11/2021 12:40;33
23/11/2021 12:50;16
23/11/2021 13:00;15
23/11/2021 13:10;13
23/11/2021 13:20;15
23/11/2021 13:30;24
23/11/2021 13:40;20
23/11/2021 13:50;39
23/11/2021 14:00;42
23/11/2021 14:10;39
23/11/2021 14:20;29
23/11/2021 14:30;18
23/11/2021 14:40;22
23/11/2021 14:50;39
23/11/2021 15:00;33
23/11/2021 15:10;41
23/11/2021 15:20;28
23/11/2021 15:30;18
23/11/2021 15:40;16
23/11/2021 15:50;33
23/11/2021 16:00;51
23/11/2021 16:10;37
23/11/2021 16:20;22
23/11/2021 16:30;12
23/11/2021 16:40;11
23/11/2021 16:50;11
23/11/2021 17:00;12
23/11/2021 17:10;12
23/11/2021 17:20;21
23/11/2021 17:30;19
23/11/2021 17:40;18
23/11/2021 17:50;16
23/11/2021 18:00;15
23/11/2021 18:10;12
23/11/2021 18:20;16
23/11/2021 18:30;13
23/11/2021 18:40;12
23/11/2021 18:50;13
23/11/2021 19:00;15
23/11/2021 19:10;14
23/11/2021 19:20;13
23/11/2021 19:30;14
23/11/2021 19:40;14
23/11/2021 19:50;15
23/11/2021 20:00;18
23/11/2021 20:10;16
23/11/2021 20:20;12
23/11/2021 20:30;11
23/11/2021 20:40;11
23/11/2021 20:50;11
23/11/2021 21:00;11
23/11/2021 21:10;12
23/11/2021 21:20;10
23/11/2021 21:30;10
23/11/2021 21:40;11
23/11/2021 21:50;10
23/11/2021 22:00;8
23/11/2021 22:10;8
23/11/2021 22:20;9
23/11/2021 22:30;9
23/11/2021 22:40;8
23/11/2021 22:50;7
23/11/2021 23:00;8
23/11/2021 23:10;7
23/11/2021 23:20;6
23/11/2021 23:30;7
23/11/2021 23:40;7
23/11/2021 23:50;7
24/11/2021 00:00;7
24/11/2021 00:10;6
24/11/2021 00:20;8
24/11/2021 00:30;7
24/11/2021 00:40;7
24/11/2021 00:50;8
24/11/2021 01:00;9
24/11/2021 01:10;9
24/11/2021 01:20;7
24/11/2021 01:30;7
24/11/2021 01:40;8
24/11/2021 01:50;8
24/11/2021 02:00;7
24/11/2021 02:10;8
24/11/2021 02:20;8
24/11/2021 02:30;8
24/11/2021 02:40;6
24/11/2021 02:50;8
24/11/2021 03:00;7
24/11/2021 03:10;7
24/11/2021 03:20;6
24/11/2021 03:30;8
24/11/2021 03:40;7
24/11/2021 03:50;7
24/11/2021 04:00;7
24/11/2021 04:10;7
24/11/2021 04:20;7
24/11/2021 04:30;7
24/11/2021 04:40;7
24/11/2021 04:50;7
24/11/2021 05:00;7
24/11/2021 05:10;7
24/11/2021 05:20;6
24/11/2021 05:30;8
24/11/2021 05:40;7
24/11/2021 05:50;7
24/11/2021 06:00;6
24/11/2021 06:10;12
24/11/2021 06:20;10
24/11/2021 06:30;14
24/11/2021 06:40;13
24/11/2021 06:50;27
24/11/2021 07:00;13
24/11/2021 07:10;17
24/11/2021 07:20;21
24/11/2021 07:30;22
24/11/2021 07:40;17
24/11/2021 07:50;22
24/11/2021 08:00;36
24/11/2021 08:10;21
24/11/2021 08:20;27
24/11/2021 08:30;27
24/11/2021 08:40;16
24/11/2021 08:50;27
24/11/2021 09:00;26
24/11/2021 09:10;20
24/11/2021 09:20;35
24/11/2021 09:30;28
24/11/2021 09:40;52
24/11/2021 09:50;49
24/11/2021 10:00;36
24/11/2021 10:10;30
24/11/2021 10:20;33
24/11/2021 10:30;31
24/11/2021 10:40;26
24/11/2021 10:50;28
24/11/2021 11:00;25
24/11/2021 11:10;22
24/11/2021 11:20;38
24/11/2021 11:30;25
24/11/2021 11:40;23
24/11/2021 11:50;19
24/11/2021 12:00;22
24/11/2021 12:10;38
24/11/2021 12:20;21
24/11/2021 12:30;18
24/11/2021 12:40;16
24/11/2021 12:50;15
24/11/2021 13:00;17
24/11/2021 13:10;18
24/11/2021 13:20;14
24/11/2021 13:30;20
24/11/2021 13:40;27
24/11/2021 13:50;16
24/11/2021 14:00;16
24/11/2021 14:10;20
24/11/2021 14:20;30
24/11/2021 14:30;18
24/11/2021 14:40;17
24/11/2021 14:50;18
24/11/2021 15:00;17
24/11/2021 15:10;31
24/11/2021 15:20;21
24/11/2021 15:30;21
24/11/2021 15:40;28
24/11/2021 15:50;18
24/11/2021 16:00;16
24/11/2021 16:10;15
24/11/2021 16:20;14
24/11/2021 16:30;9
24/11/2021 16:40;13
