Horodatage;J | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;19
23/11/2021 00:10;19
23/11/2021 00:20;17
23/11/2021 00:30;19
23/11/2021 00:40;16
23/11/2021 00:50;17
23/11/2021 01:00;18
23/11/2021 01:10;17
23/11/2021 01:20;18
23/11/2021 01:30;20
23/11/2021 01:40;19
23/11/2021 01:50;17
23/11/2021 02:00;18
23/11/2021 02:10;17
23/11/2021 02:20;18
23/11/2021 02:30;18
23/11/2021 02:40;19
23/11/2021 02:50;20
23/11/2021 03:00;21
23/11/2021 03:10;19
23/11/2021 03:20;19
23/11/2021 03:30;19
23/11/2021 03:40;20
23/11/2021 03:50;19
23/11/2021 04:00;20
23/11/2021 04:10;17
23/11/2021 04:20;20
23/11/2021 04:30;19
23/11/2021 04:40;18
23/11/2021 04:50;18
23/11/2021 05:00;20
23/11/2021 05:10;17
23/11/2021 05:20;17
23/11/2021 05:30;20
23/11/2021 05:40;18
23/11/2021 05:50;18
23/11/2021 06:00;20
23/11/2021 06:10;19
23/11/2021 06:20;17
23/11/2021 06:30;37
23/11/2021 06:40;46
23/11/2021 06:50;119
23/11/2021 07:00;337
23/11/2021 07:10;445
23/11/2021 07:20;472
23/11/2021 07:30;435
23/11/2021 07:40;429
23/11/2021 07:50;415
23/11/2021 08:00;377
23/11/2021 08:10;383
23/11/2021 08:20;359
23/11/2021 08:30;305
23/11/2021 08:40;319
23/11/2021 08:50;377
23/11/2021 09:00;402
23/11/2021 09:10;409
23/11/2021 09:20;387
23/11/2021 09:30;362
23/11/2021 09:40;361
23/11/2021 09:50;373
23/11/2021 10:00;373
23/11/2021 10:10;400
23/11/2021 10:20;363
23/11/2021 10:30;362
23/11/2021 10:40;393
23/11/2021 10:50;387
23/11/2021 11:00;391
23/11/2021 11:10;401
23/11/2021 11:20;431
23/11/2021 11:30;404
23/11/2021 11:40;289
23/11/2021 11:50;109
23/11/2021 12:00;29
23/11/2021 12:10;19
23/11/2021 12:20;22
23/11/2021 12:30;17
23/11/2021 12:40;21
23/11/2021 12:50;25
23/11/2021 13:00;34
23/11/2021 13:10;79
23/11/2021 13:20;104
23/11/2021 13:30;240
23/11/2021 13:40;394
23/11/2021 13:50;406
23/11/2021 14:00;417
23/11/2021 14:10;463
23/11/2021 14:20;415
23/11/2021 14:30;387
23/11/2021 14:40;420
23/11/2021 14:50;387
23/11/2021 15:00;420
23/11/2021 15:10;379
23/11/2021 15:20;380
23/11/2021 15:30;357
23/11/2021 15:40;363
23/11/2021 15:50;382
23/11/2021 16:00;408
23/11/2021 16:10;408
23/11/2021 16:20;384
23/11/2021 16:30;398
23/11/2021 16:40;421
23/11/2021 16:50;378
23/11/2021 17:00;245
23/11/2021 17:10;128
23/11/2021 17:20;89
23/11/2021 17:30;51
23/11/2021 17:40;29
23/11/2021 17:50;20
23/11/2021 18:00;19
23/11/2021 18:10;20
23/11/2021 18:20;19
23/11/2021 18:30;17
23/11/2021 18:40;19
23/11/2021 18:50;16
23/11/2021 19:00;15
23/11/2021 19:10;17
23/11/2021 19:20;18
23/11/2021 19:30;15
23/11/2021 19:40;18
23/11/2021 19:50;18
23/11/2021 20:00;17
23/11/2021 20:10;17
23/11/2021 20:20;18
23/11/2021 20:30;18
23/11/2021 20:40;19
23/11/2021 20:50;18
23/11/2021 21:00;17
23/11/2021 21:10;19
23/11/2021 21:20;17
23/11/2021 21:30;18
23/11/2021 21:40;19
23/11/2021 21:50;18
23/11/2021 22:00;16
23/11/2021 22:10;20
23/11/2021 22:20;19
23/11/2021 22:30;17
23/11/2021 22:40;19
23/11/2021 22:50;20
23/11/2021 23:00;16
23/11/2021 23:10;19
23/11/2021 23:20;19
23/11/2021 23:30;18
23/11/2021 23:40;19
23/11/2021 23:50;20
24/11/2021 00:00;17
24/11/2021 00:10;18
24/11/2021 00:20;20
24/11/2021 00:30;19
24/11/2021 00:40;19
24/11/2021 00:50;18
24/11/2021 01:00;20
24/11/2021 01:10;18
24/11/2021 01:20;19
24/11/2021 01:30;19
24/11/2021 01:40;19
24/11/2021 01:50;19
24/11/2021 02:00;20
24/11/2021 02:10;19
24/11/2021 02:20;18
24/11/2021 02:30;20
24/11/2021 02:40;21
24/11/2021 02:50;20
24/11/2021 03:00;21
24/11/2021 03:10;21
24/11/2021 03:20;20
24/11/2021 03:30;20
24/11/2021 03:40;20
24/11/2021 03:50;19
24/11/2021 04:00;19
24/11/2021 04:10;19
24/11/2021 04:20;21
24/11/2021 04:30;19
24/11/2021 04:40;20
24/11/2021 04:50;19
