Horodatage;L | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;3410
23/11/2021 00:10;3504
23/11/2021 00:20;3499
23/11/2021 00:30;3538
23/11/2021 00:40;3537
23/11/2021 00:50;3485
23/11/2021 01:00;3514
23/11/2021 01:10;3549
23/11/2021 01:20;3536
23/11/2021 01:30;3561
23/11/2021 01:40;3619
23/11/2021 01:50;3610
23/11/2021 02:00;3610
23/11/2021 02:10;3609
23/11/2021 02:20;3571
23/11/2021 02:30;3615
23/11/2021 02:40;3530
23/11/2021 02:50;3564
23/11/2021 03:00;3559
23/11/2021 03:10;3545
23/11/2021 03:20;3576
23/11/2021 03:30;3528
23/11/2021 03:40;3511
23/11/2021 03:50;3548
23/11/2021 04:00;3508
23/11/2021 04:10;3497
23/11/2021 04:20;3526
23/11/2021 04:30;3513
23/11/2021 04:40;3516
23/11/2021 04:50;3478
23/11/2021 05:00;3475
23/11/2021 05:10;3478
23/11/2021 05:20;3461
23/11/2021 05:30;3405
23/11/2021 05:40;3360
23/11/2021 05:50;3387
23/11/2021 06:00;3453
23/11/2021 06:10;3444
23/11/2021 06:20;3480
23/11/2021 06:30;3480
23/11/2021 06:40;3396
23/11/2021 06:50;3372
23/11/2021 07:00;3430
23/11/2021 07:10;3451
23/11/2021 07:20;3497
23/11/2021 07:30;3516
23/11/2021 07:40;3516
23/11/2021 07:50;3477
23/11/2021 08:00;3500
23/11/2021 08:10;3484
23/11/2021 08:20;3476
23/11/2021 08:30;3463
23/11/2021 08:40;3545
23/11/2021 08:50;3542
23/11/2021 09:00;3468
23/11/2021 09:10;3403
23/11/2021 09:20;3490
23/11/2021 09:30;3420
23/11/2021 09:40;3468
23/11/2021 09:50;3554
23/11/2021 10:00;3543
23/11/2021 10:10;3496
23/11/2021 10:20;3574
23/11/2021 10:30;3490
23/11/2021 10:40;3396
23/11/2021 10:50;3388
23/11/2021 11:00;3408
23/11/2021 11:10;3548
23/11/2021 11:20;3585
23/11/2021 11:30;3562
23/11/2021 11:40;3595
23/11/2021 11:50;3569
23/11/2021 12:00;3518
23/11/2021 12:10;3531
23/11/2021 12:20;3631
23/11/2021 12:30;3593
23/11/2021 12:40;3492
23/11/2021 12:50;3453
23/11/2021 13:00;3540
23/11/2021 13:10;3511
23/11/2021 13:20;3562
23/11/2021 13:30;3449
23/11/2021 13:40;3480
23/11/2021 13:50;3441
23/11/2021 14:00;3449
23/11/2021 14:10;3528
23/11/2021 14:20;3519
23/11/2021 14:30;3511
23/11/2021 14:40;3374
23/11/2021 14:50;3391
23/11/2021 15:00;3396
23/11/2021 15:10;3372
23/11/2021 15:20;3370
23/11/2021 15:30;3427
23/11/2021 15:40;3322
