Horodatage;M | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;534
23/11/2021 00:10;528
23/11/2021 00:20;539
23/11/2021 00:30;554
23/11/2021 00:40;538
23/11/2021 00:50;527
23/11/2021 01:00;520
23/11/2021 01:10;501
23/11/2021 01:20;509
23/11/2021 01:30;502
23/11/2021 01:40;483
23/11/2021 01:50;500
23/11/2021 02:00;509
23/11/2021 02:10;513
23/11/2021 02:20;510
23/11/2021 02:30;511
23/11/2021 02:40;545
23/11/2021 02:50;551
23/11/2021 03:00;541
23/11/2021 03:10;558
23/11/2021 03:20;554
23/11/2021 03:30;541
23/11/2021 03:40;552
23/11/2021 03:50;528
23/11/2021 04:00;488
23/11/2021 04:10;502
23/11/2021 04:20;509
23/11/2021 04:30;493
23/11/2021 04:40;493
23/11/2021 04:50;485
23/11/2021 05:00;493
23/11/2021 05:10;489
23/11/2021 05:20;473
23/11/2021 05:30;482
23/11/2021 05:40;491
23/11/2021 05:50;477
23/11/2021 06:00;486
23/11/2021 06:10;487
23/11/2021 06:20;521
23/11/2021 06:30;538
23/11/2021 06:40;573
23/11/2021 06:50;582
23/11/2021 07:00;596
23/11/2021 07:10;603
23/11/2021 07:20;599
23/11/2021 07:30;585
23/11/2021 07:40;607
23/11/2021 07:50;645
23/11/2021 08:00;640
23/11/2021 08:10;639
23/11/2021 08:20;601
23/11/2021 08:30;612
23/11/2021 08:40;617
23/11/2021 08:50;628
23/11/2021 09:00;637
23/11/2021 09:10;623
23/11/2021 09:20;644
23/11/2021 09:30;647
23/11/2021 09:40;628
23/11/2021 09:50;628
23/11/2021 10:00;669
23/11/2021 10:10;704
23/11/2021 10:20;712
23/11/2021 10:30;701
23/11/2021 10:40;737
23/11/2021 10:50;707
23/11/2021 11:00;651
23/11/2021 11:10;575
23/11/2021 11:20;550
23/11/2021 11:30;611
23/11/2021 11:40;649
23/11/2021 11:50;714
23/11/2021 12:00;730
23/11/2021 12:10;746
23/11/2021 12:20;727
23/11/2021 12:30;716
23/11/2021 12:40;681
23/11/2021 12:50;668
23/11/2021 13:00;664
23/11/2021 13:10;633
23/11/2021 13:20;583
23/11/2021 13:30;587
23/11/2021 13:40;627
23/11/2021 13:50;654
23/11/2021 14:00;663
23/11/2021 14:10;666
23/11/2021 14:20;667
23/11/2021 14:30;630
23/11/2021 14:40;629
23/11/2021 14:50;620
23/11/2021 15:00;634
23/11/2021 15:10;632
23/11/2021 15:20;630
23/11/2021 15:30;637
23/11/2021 15:40;666
23/11/2021 15:50;657
23/11/2021 16:00;658
23/11/2021 16:10;660
23/11/2021 16:20;666
23/11/2021 16:30;631
23/11/2021 16:40;619
23/11/2021 16:50;621
23/11/2021 17:00;627
23/11/2021 17:10;613
23/11/2021 17:20;622
23/11/2021 17:30;598
23/11/2021 17:40;573
23/11/2021 17:50;586
23/11/2021 18:00;553
23/11/2021 18:10;594
23/11/2021 18:20;579
23/11/2021 18:30;535
23/11/2021 18:40;521
23/11/2021 18:50;532
23/11/2021 19:00;543
23/11/2021 19:10;553
23/11/2021 19:20;596
23/11/2021 19:30;595
23/11/2021 19:40;603
23/11/2021 19:50;587
23/11/2021 20:00;596
23/11/2021 20:10;563
23/11/2021 20:20;581
23/11/2021 20:30;547
23/11/2021 20:40;513
23/11/2021 20:50;497
23/11/2021 21:00;551
23/11/2021 21:10;568
23/11/2021 21:20;544
23/11/2021 21:30;549
23/11/2021 21:40;548
23/11/2021 21:50;556
23/11/2021 22:00;515
23/11/2021 22:10;530
23/11/2021 22:20;547
23/11/2021 22:30;547
23/11/2021 22:40;588
23/11/2021 22:50;590
23/11/2021 23:00;559
23/11/2021 23:10;562
23/11/2021 23:20;532
23/11/2021 23:30;522
23/11/2021 23:40;562
23/11/2021 23:50;548
24/11/2021 00:00;563
24/11/2021 00:10;571
24/11/2021 00:20;560
24/11/2021 00:30;547
24/11/2021 00:40;522
24/11/2021 00:50;515
24/11/2021 01:00;595
24/11/2021 01:10;577
24/11/2021 01:20;599
24/11/2021 01:30;557
24/11/2021 01:40;545
24/11/2021 01:50;575
24/11/2021 02:00;566
24/11/2021 02:10;577
24/11/2021 02:20;590
24/11/2021 02:30;560
24/11/2021 02:40;516
24/11/2021 02:50;490
24/11/2021 03:00;505
24/11/2021 03:10;511
24/11/2021 03:20;521
24/11/2021 03:30;499
24/11/2021 03:40;511
24/11/2021 03:50;493
24/11/2021 04:00;486
24/11/2021 04:10;506
24/11/2021 04:20;510
24/11/2021 04:30;518
24/11/2021 04:40;511
24/11/2021 04:50;491
24/11/2021 05:00;506
24/11/2021 05:10;522
24/11/2021 05:20;534
24/11/2021 05:30;518
24/11/2021 05:40;505
24/11/2021 05:50;491
24/11/2021 06:00;494
24/11/2021 06:10;535
24/11/2021 06:20;567
24/11/2021 06:30;595
24/11/2021 06:40;614
24/11/2021 06:50;593
24/11/2021 07:00;606
24/11/2021 07:10;625
24/11/2021 07:20;616
24/11/2021 07:30;619
24/11/2021 07:40;627
24/11/2021 07:50;629
24/11/2021 08:00;641
24/11/2021 08:10;637
24/11/2021 08:20;639
24/11/2021 08:30;650
24/11/2021 08:40;647
24/11/2021 08:50;654
24/11/2021 09:00;692
24/11/2021 09:10;729
24/11/2021 09:20;746
24/11/2021 09:30;691
24/11/2021 09:40;681
24/11/2021 09:50;689
24/11/2021 10:00;706
24/11/2021 10:10;729
24/11/2021 10:20;722
24/11/2021 10:30;681
24/11/2021 10:40;706
24/11/2021 10:50;687
24/11/2021 11:00;615
24/11/2021 11:10;614
24/11/2021 11:20;570
24/11/2021 11:30;614
24/11/2021 11:40;630
24/11/2021 11:50;676
24/11/2021 12:00;673
24/11/2021 12:10;692
24/11/2021 12:20;703
24/11/2021 12:30;661
24/11/2021 12:40;632
24/11/2021 12:50;619
24/11/2021 13:00;618
24/11/2021 13:10;609
24/11/2021 13:20;551
24/11/2021 13:30;579
24/11/2021 13:40;606
24/11/2021 13:50;626
24/11/2021 14:00;631
24/11/2021 14:10;631
24/11/2021 14:20;636
24/11/2021 14:30;657
24/11/2021 14:40;614
24/11/2021 14:50;596
24/11/2021 15:00;603
24/11/2021 15:10;621
24/11/2021 15:20;634
24/11/2021 15:30;650
24/11/2021 15:40;640
24/11/2021 15:50;629
24/11/2021 16:00;645
24/11/2021 16:10;645
24/11/2021 16:20;667
24/11/2021 16:30;669
24/11/2021 16:40;642
24/11/2021 16:50;617
24/11/2021 17:00;627
24/11/2021 17:10;664
24/11/2021 17:20;682
24/11/2021 17:30;679
24/11/2021 17:40;669
24/11/2021 17:50;704
24/11/2021 18:00;687
24/11/2021 18:10;696
24/11/2021 18:20;669
24/11/2021 18:30;628
24/11/2021 18:40;623
24/11/2021 18:50;597
24/11/2021 19:00;641
24/11/2021 19:10;678
24/11/2021 19:20;697
24/11/2021 19:30;659
24/11/2021 19:40;631
24/11/2021 19:50;617
24/11/2021 20:00;606
24/11/2021 20:10;632
24/11/2021 20:20;587
24/11/2021 20:30;603
24/11/2021 20:40;572
24/11/2021 20:50;522
24/11/2021 21:00;533
24/11/2021 21:10;537
24/11/2021 21:20;555
24/11/2021 21:30;519
24/11/2021 21:40;505
24/11/2021 21:50;519
24/11/2021 22:00;508
24/11/2021 22:10;515
24/11/2021 22:20;500
24/11/2021 22:30;488
24/11/2021 22:40;508
24/11/2021 22:50;509
24/11/2021 23:00;509
24/11/2021 23:10;483
24/11/2021 23:20;485
24/11/2021 23:30;499
24/11/2021 23:40;494
24/11/2021 23:50;501
25/11/2021 00:00;485
25/11/2021 00:10;502
25/11/2021 00:20;517
25/11/2021 00:30;522
25/11/2021 00:40;509
25/11/2021 00:50;505
25/11/2021 01:00;503
25/11/2021 01:10;521
25/11/2021 01:20;523
25/11/2021 01:30;502
25/11/2021 01:40;474
25/11/2021 01:50;488
25/11/2021 02:00;500
25/11/2021 02:10;501
25/11/2021 02:20;510
25/11/2021 02:30;501
25/11/2021 02:40;486
25/11/2021 02:50;480
25/11/2021 03:00;481
25/11/2021 03:10;489
25/11/2021 03:20;502
25/11/2021 03:30;501
25/11/2021 03:40;496
25/11/2021 03:50;485
25/11/2021 04:00;477
25/11/2021 04:10;471
25/11/2021 04:20;491
25/11/2021 04:30;505
25/11/2021 04:40;499
25/11/2021 04:50;488
25/11/2021 05:00;489
25/11/2021 05:10;487
25/11/2021 05:20;495
25/11/2021 05:30;482
25/11/2021 05:40;461
25/11/2021 05:50;466
25/11/2021 06:00;515
25/11/2021 06:10;546
25/11/2021 06:20;573
25/11/2021 06:30;566
25/11/2021 06:40;585
25/11/2021 06:50;614
25/11/2021 07:00;621
25/11/2021 07:10;629
25/11/2021 07:20;635
25/11/2021 07:30;618
25/11/2021 07:40;635
25/11/2021 07:50;650
25/11/2021 08:00;633
25/11/2021 08:10;636
25/11/2021 08:20;640
25/11/2021 08:30;632
25/11/2021 08:40;656
25/11/2021 08:50;683
25/11/2021 09:00;675
25/11/2021 09:10;667
25/11/2021 09:20;665
25/11/2021 09:30;670
25/11/2021 09:40;699
25/11/2021 09:50;701
25/11/2021 10:00;693
25/11/2021 10:10;673
25/11/2021 10:20;663
25/11/2021 10:30;695
25/11/2021 10:40;700
25/11/2021 10:50;699
25/11/2021 11:00;631
25/11/2021 11:10;574
25/11/2021 11:20;588
25/11/2021 11:30;622
25/11/2021 11:40;703
25/11/2021 11:50;728
25/11/2021 12:00;674
25/11/2021 12:10;718
25/11/2021 12:20;708
25/11/2021 12:30;700
25/11/2021 12:40;694
25/11/2021 12:50;653
25/11/2021 13:00;661
25/11/2021 13:10;646
25/11/2021 13:20;625
25/11/2021 13:30;646
25/11/2021 13:40;684
25/11/2021 13:50;691
25/11/2021 14:00;649
