Horodatage;Q | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;46
23/11/2021 00:10;35
23/11/2021 00:20;33
23/11/2021 00:30;37
23/11/2021 00:40;36
23/11/2021 00:50;40
23/11/2021 01:00;45
23/11/2021 01:10;39
23/11/2021 01:20;43
23/11/2021 01:30;48
23/11/2021 01:40;53
23/11/2021 01:50;52
23/11/2021 02:00;39
23/11/2021 02:10;37
23/11/2021 02:20;40
23/11/2021 02:30;44
23/11/2021 02:40;49
23/11/2021 02:50;48
23/11/2021 03:00;32
23/11/2021 03:10;28
23/11/2021 03:20;24
23/11/2021 03:30;33
23/11/2021 03:40;39
23/11/2021 03:50;30
23/11/2021 04:00;27
23/11/2021 04:10;30
23/11/2021 04:20;28
23/11/2021 04:30;27
23/11/2021 04:40;34
23/11/2021 04:50;34
23/11/2021 05:00;45
23/11/2021 05:10;49
23/11/2021 05:20;54
23/11/2021 05:30;66
23/11/2021 05:40;56
23/11/2021 05:50;80
23/11/2021 06:00;83
23/11/2021 06:10;69
23/11/2021 06:20;59
23/11/2021 06:30;73
23/11/2021 06:40;75
23/11/2021 06:50;83
23/11/2021 07:00;110
23/11/2021 07:10;98
23/11/2021 07:20;102
23/11/2021 07:30;86
23/11/2021 07:40;80
23/11/2021 07:50;78
23/11/2021 08:00;79
23/11/2021 08:10;61
23/11/2021 08:20;56
23/11/2021 08:30;71
23/11/2021 08:40;89
23/11/2021 08:50;95
23/11/2021 09:00;114
23/11/2021 09:10;119
23/11/2021 09:20;101
23/11/2021 09:30;114
23/11/2021 09:40;96
23/11/2021 09:50;110
23/11/2021 10:00;120
23/11/2021 10:10;126
23/11/2021 10:20;126
23/11/2021 10:30;117
23/11/2021 10:40;116
23/11/2021 10:50;121
23/11/2021 11:00;124
23/11/2021 11:10;136
23/11/2021 11:20;109
23/11/2021 11:30;101
23/11/2021 11:40;108
23/11/2021 11:50;129
23/11/2021 12:00;107
23/11/2021 12:10;110
23/11/2021 12:20;92
23/11/2021 12:30;66
23/11/2021 12:40;66
23/11/2021 12:50;64
23/11/2021 13:00;60
23/11/2021 13:10;58
23/11/2021 13:20;65
23/11/2021 13:30;62
23/11/2021 13:40;63
23/11/2021 13:50;66
23/11/2021 14:00;54
23/11/2021 14:10;59
23/11/2021 14:20;63
23/11/2021 14:30;65
23/11/2021 14:40;69
23/11/2021 14:50;60
23/11/2021 15:00;65
23/11/2021 15:10;69
23/11/2021 15:20;63
23/11/2021 15:30;72
23/11/2021 15:40;62
23/11/2021 15:50;61
23/11/2021 16:00;65
23/11/2021 16:10;59
23/11/2021 16:20;69
23/11/2021 16:30;71
23/11/2021 16:40;69
23/11/2021 16:50;73
23/11/2021 17:00;67
23/11/2021 17:10;73
23/11/2021 17:20;69
23/11/2021 17:30;70
23/11/2021 17:40;70
23/11/2021 17:50;64
23/11/2021 18:00;71
23/11/2021 18:10;65
23/11/2021 18:20;64
23/11/2021 18:30;71
23/11/2021 18:40;63
23/11/2021 18:50;67
23/11/2021 19:00;66
23/11/2021 19:10;61
23/11/2021 19:20;66
23/11/2021 19:30;69
23/11/2021 19:40;68
23/11/2021 19:50;76
23/11/2021 20:00;70
23/11/2021 20:10;66
23/11/2021 20:20;70
23/11/2021 20:30;62
23/11/2021 20:40;63
23/11/2021 20:50;70
23/11/2021 21:00;58
23/11/2021 21:10;63
23/11/2021 21:20;66
23/11/2021 21:30;61
23/11/2021 21:40;68
23/11/2021 21:50;67
23/11/2021 22:00;61
23/11/2021 22:10;74
23/11/2021 22:20;66
23/11/2021 22:30;67
23/11/2021 22:40;81
23/11/2021 22:50;64
23/11/2021 23:00;67
23/11/2021 23:10;66
23/11/2021 23:20;68
23/11/2021 23:30;66
23/11/2021 23:40;64
23/11/2021 23:50;67
24/11/2021 00:00;65
24/11/2021 00:10;60
24/11/2021 00:20;63
24/11/2021 00:30;66
24/11/2021 00:40;68
24/11/2021 00:50;74
24/11/2021 01:00;73
24/11/2021 01:10;80
24/11/2021 01:20;79
24/11/2021 01:30;73
24/11/2021 01:40;72
24/11/2021 01:50;63
24/11/2021 02:00;67
24/11/2021 02:10;65
24/11/2021 02:20;64
24/11/2021 02:30;70
24/11/2021 02:40;63
24/11/2021 02:50;66
24/11/2021 03:00;65
24/11/2021 03:10;47
24/11/2021 03:20;52
24/11/2021 03:30;53
24/11/2021 03:40;49
24/11/2021 03:50;49
24/11/2021 04:00;46
24/11/2021 04:10;44
24/11/2021 04:20;49
24/11/2021 04:30;47
24/11/2021 04:40;49
24/11/2021 04:50;85
24/11/2021 05:00;104
24/11/2021 05:10;110
24/11/2021 05:20;99
24/11/2021 05:30;99
24/11/2021 05:40;89
24/11/2021 05:50;73
24/11/2021 06:00;53
24/11/2021 06:10;48
24/11/2021 06:20;58
24/11/2021 06:30;63
24/11/2021 06:40;68
24/11/2021 06:50;71
24/11/2021 07:00;96
24/11/2021 07:10;103
24/11/2021 07:20;104
24/11/2021 07:30;90
24/11/2021 07:40;78
24/11/2021 07:50;78
24/11/2021 08:00;83
24/11/2021 08:10;52
24/11/2021 08:20;75
24/11/2021 08:30;85
24/11/2021 08:40;95
24/11/2021 08:50;110
24/11/2021 09:00;111
24/11/2021 09:10;115
24/11/2021 09:20;110
24/11/2021 09:30;103
24/11/2021 09:40;122
24/11/2021 09:50;99
24/11/2021 10:00;122
24/11/2021 10:10;130
24/11/2021 10:20;118
24/11/2021 10:30;119
24/11/2021 10:40;127
24/11/2021 10:50;123
24/11/2021 11:00;127
24/11/2021 11:10;94
24/11/2021 11:20;69
24/11/2021 11:30;105
24/11/2021 11:40;107
24/11/2021 11:50;105
24/11/2021 12:00;88
24/11/2021 12:10;110
24/11/2021 12:20;98
24/11/2021 12:30;78
24/11/2021 12:40;82
24/11/2021 12:50;76
24/11/2021 13:00;79
24/11/2021 13:10;67
24/11/2021 13:20;73
24/11/2021 13:30;72
24/11/2021 13:40;69
24/11/2021 13:50;77
24/11/2021 14:00;75
24/11/2021 14:10;75
24/11/2021 14:20;73
24/11/2021 14:30;73
24/11/2021 14:40;83
24/11/2021 14:50;77
24/11/2021 15:00;79
24/11/2021 15:10;79
24/11/2021 15:20;73
24/11/2021 15:30;77
24/11/2021 15:40;69
24/11/2021 15:50;66
24/11/2021 16:00;77
24/11/2021 16:10;77
24/11/2021 16:20;71
24/11/2021 16:30;64
24/11/2021 16:40;64
24/11/2021 16:50;71
24/11/2021 17:00;70
24/11/2021 17:10;72
24/11/2021 17:20;68
24/11/2021 17:30;67
24/11/2021 17:40;71
24/11/2021 17:50;71
24/11/2021 18:00;68
24/11/2021 18:10;72
24/11/2021 18:20;70
24/11/2021 18:30;73
24/11/2021 18:40;76
24/11/2021 18:50;85
24/11/2021 19:00;75
24/11/2021 19:10;70
24/11/2021 19:20;63
24/11/2021 19:30;64
24/11/2021 19:40;67
24/11/2021 19:50;69
24/11/2021 20:00;74
24/11/2021 20:10;62
