Horodatage;R | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;47
23/11/2021 00:10;48
23/11/2021 00:20;41
23/11/2021 00:30;34
23/11/2021 00:40;27
23/11/2021 00:50;26
23/11/2021 01:00;26
23/11/2021 01:10;26
23/11/2021 01:20;27
23/11/2021 01:30;26
23/11/2021 01:40;28
23/11/2021 01:50;25
23/11/2021 02:00;30
23/11/2021 02:10;37
23/11/2021 02:20;41
23/11/2021 02:30;26
23/11/2021 02:40;27
23/11/2021 02:50;26
23/11/2021 03:00;26
23/11/2021 03:10;27
23/11/2021 03:20;26
23/11/2021 03:30;26
23/11/2021 03:40;31
23/11/2021 03:50;38
23/11/2021 04:00;46
23/11/2021 04:10;33
23/11/2021 04:20;26
23/11/2021 04:30;26
23/11/2021 04:40;27
23/11/2021 04:50;29
23/11/2021 05:00;27
23/11/2021 05:10;26
23/11/2021 05:20;33
23/11/2021 05:30;40
23/11/2021 05:40;36
23/11/2021 05:50;26
23/11/2021 06:00;15
23/11/2021 06:10;22
23/11/2021 06:20;29
23/11/2021 06:30;29
23/11/2021 06:40;16
23/11/2021 06:50;20
23/11/2021 07:00;19
23/11/2021 07:10;19
23/11/2021 07:20;20
23/11/2021 07:30;19
23/11/2021 07:40;20
23/11/2021 07:50;25
23/11/2021 08:00;17
23/11/2021 08:10;12
23/11/2021 08:20;14
23/11/2021 08:30;13
23/11/2021 08:40;13
23/11/2021 08:50;13
23/11/2021 09:00;18
23/11/2021 09:10;13
23/11/2021 09:20;12
23/11/2021 09:30;15
23/11/2021 09:40;16
23/11/2021 09:50;14
23/11/2021 10:00;15
23/11/2021 10:10;11
23/11/2021 10:20;16
23/11/2021 10:30;15
23/11/2021 10:40;17
23/11/2021 10:50;21
23/11/2021 11:00;50
23/11/2021 11:10;29
23/11/2021 11:20;28
23/11/2021 11:30;27
23/11/2021 11:40;13
23/11/2021 11:50;15
23/11/2021 12:00;15
23/11/2021 12:10;16
23/11/2021 12:20;15
23/11/2021 12:30;15
23/11/2021 12:40;19
23/11/2021 12:50;30
23/11/2021 13:00;27
23/11/2021 13:10;29
23/11/2021 13:20;24
23/11/2021 13:30;19
23/11/2021 13:40;20
23/11/2021 13:50;21
23/11/2021 14:00;17
23/11/2021 14:10;18
23/11/2021 14:20;12
23/11/2021 14:30;16
23/11/2021 14:40;11
23/11/2021 14:50;16
23/11/2021 15:00;12
23/11/2021 15:10;15
23/11/2021 15:20;14
23/11/2021 15:30;20
23/11/2021 15:40;12
23/11/2021 15:50;12
23/11/2021 16:00;12
23/11/2021 16:10;12
23/11/2021 16:20;14
23/11/2021 16:30;16
23/11/2021 16:40;18
23/11/2021 16:50;18
23/11/2021 17:00;26
23/11/2021 17:10;20
23/11/2021 17:20;21
23/11/2021 17:30;19
23/11/2021 17:40;24
23/11/2021 17:50;27
23/11/2021 18:00;37
23/11/2021 18:10;32
23/11/2021 18:20;31
23/11/2021 18:30;30
23/11/2021 18:40;29
23/11/2021 18:50;30
23/11/2021 19:00;40
23/11/2021 19:10;39
23/11/2021 19:20;35
23/11/2021 19:30;29
23/11/2021 19:40;33
23/11/2021 19:50;41
23/11/2021 20:00;36
23/11/2021 20:10;32
23/11/2021 20:20;32
23/11/2021 20:30;30
23/11/2021 20:40;31
23/11/2021 20:50;28
23/11/2021 21:00;28
23/11/2021 21:10;29
23/11/2021 21:20;24
23/11/2021 21:30;26
23/11/2021 21:40;19
23/11/2021 21:50;21
23/11/2021 22:00;66
23/11/2021 22:10;73
23/11/2021 22:20;72
23/11/2021 22:30;72
23/11/2021 22:40;74
23/11/2021 22:50;76
23/11/2021 23:00;71
23/11/2021 23:10;71
23/11/2021 23:20;72
23/11/2021 23:30;71
23/11/2021 23:40;72
23/11/2021 23:50;70
24/11/2021 00:00;67
24/11/2021 00:10;48
24/11/2021 00:20;49
24/11/2021 00:30;47
24/11/2021 00:40;48
24/11/2021 00:50;48
24/11/2021 01:00;41
24/11/2021 01:10;38
24/11/2021 01:20;40
24/11/2021 01:30;39
24/11/2021 01:40;42
24/11/2021 01:50;40
24/11/2021 02:00;55
24/11/2021 02:10;52
24/11/2021 02:20;43
24/11/2021 02:30;40
24/11/2021 02:40;41
24/11/2021 02:50;40
24/11/2021 03:00;41
24/11/2021 03:10;38
24/11/2021 03:20;43
24/11/2021 03:30;42
24/11/2021 03:40;54
24/11/2021 03:50;52
24/11/2021 04:00;42
24/11/2021 04:10;39
24/11/2021 04:20;41
24/11/2021 04:30;47
24/11/2021 04:40;48
24/11/2021 04:50;39
24/11/2021 05:00;44
24/11/2021 05:10;44
24/11/2021 05:20;57
24/11/2021 05:30;51
24/11/2021 05:40;40
24/11/2021 05:50;44
24/11/2021 06:00;25
24/11/2021 06:10;27
24/11/2021 06:20;39
24/11/2021 06:30;39
24/11/2021 06:40;22
24/11/2021 06:50;23
24/11/2021 07:00;23
24/11/2021 07:10;24
24/11/2021 07:20;24
24/11/2021 07:30;21
24/11/2021 07:40;20
24/11/2021 07:50;19
24/11/2021 08:00;17
24/11/2021 08:10;23
24/11/2021 08:20;18
24/11/2021 08:30;18
24/11/2021 08:40;23
24/11/2021 08:50;19
24/11/2021 09:00;19
24/11/2021 09:10;17
24/11/2021 09:20;21
24/11/2021 09:30;16
24/11/2021 09:40;19
24/11/2021 09:50;19
24/11/2021 10:00;22
24/11/2021 10:10;17
24/11/2021 10:20;20
24/11/2021 10:30;17
24/11/2021 10:40;14
24/11/2021 10:50;15
24/11/2021 11:00;17
24/11/2021 11:10;27
24/11/2021 11:20;25
24/11/2021 11:30;18
24/11/2021 11:40;14
24/11/2021 11:50;12
24/11/2021 12:00;11
24/11/2021 12:10;14
24/11/2021 12:20;28
24/11/2021 12:30;24
24/11/2021 12:40;17
24/11/2021 12:50;13
24/11/2021 13:00;18
24/11/2021 13:10;16
24/11/2021 13:20;23
24/11/2021 13:30;35
24/11/2021 13:40;16
24/11/2021 13:50;16
24/11/2021 14:00;13
24/11/2021 14:10;12
24/11/2021 14:20;23
