Horodatage; S | Consommation | EA, Courbe Finale, Pertes incluses
23/11/2021 00:00;210
23/11/2021 00:10;211
23/11/2021 00:20;210
23/11/2021 00:30;211
23/11/2021 00:40;211
23/11/2021 00:50;210
23/11/2021 01:00;211
23/11/2021 01:10;214
23/11/2021 01:20;220
23/11/2021 01:30;219
23/11/2021 01:40;219
23/11/2021 01:50;220
23/11/2021 02:00;219
23/11/2021 02:10;222
23/11/2021 02:20;222
23/11/2021 02:30;222
23/11/2021 02:40;221
23/11/2021 02:50;223
23/11/2021 03:00;222
23/11/2021 03:10;223
23/11/2021 03:20;222
23/11/2021 03:30;223
23/11/2021 03:40;222
23/11/2021 03:50;220
23/11/2021 04:00;227
23/11/2021 04:10;227
23/11/2021 04:20;227
23/11/2021 04:30;227
23/11/2021 04:40;238
23/11/2021 04:50;238
23/11/2021 05:00;239
23/11/2021 05:10;239
23/11/2021 05:20;238
23/11/2021 05:30;237
23/11/2021 05:40;264
23/11/2021 05:50;267
23/11/2021 06:00;266
23/11/2021 06:10;266
23/11/2021 06:20;266
23/11/2021 06:30;267
23/11/2021 06:40;268
23/11/2021 06:50;276
23/11/2021 07:00;278
23/11/2021 07:10;287
23/11/2021 07:20;287
23/11/2021 07:30;283
23/11/2021 07:40;283
23/11/2021 07:50;299
23/11/2021 08:00;300
23/11/2021 08:10;301
23/11/2021 08:20;308
23/11/2021 08:30;328
23/11/2021 08:40;360
23/11/2021 08:50;331
23/11/2021 09:00;341
23/11/2021 09:10;348
23/11/2021 09:20;351
23/11/2021 09:30;338
23/11/2021 09:40;336
23/11/2021 09:50;336
23/11/2021 10:00;332
23/11/2021 10:10;331
23/11/2021 10:20;327
23/11/2021 10:30;350
23/11/2021 10:40;335
23/11/2021 10:50;346
23/11/2021 11:00;347
23/11/2021 11:10;344
23/11/2021 11:20;313
23/11/2021 11:30;351
23/11/2021 11:40;319
23/11/2021 11:50;337
23/11/2021 12:00;359
23/11/2021 12:10;371
23/11/2021 12:20;352
23/11/2021 12:30;394
23/11/2021 12:40;342
23/11/2021 12:50;392
23/11/2021 13:00;347
23/11/2021 13:10;383
23/11/2021 13:20;356
23/11/2021 13:30;373
23/11/2021 13:40;373
23/11/2021 13:50;353
23/11/2021 14:00;384
23/11/2021 14:10;347
23/11/2021 14:20;385
23/11/2021 14:30;351
23/11/2021 14:40;393
23/11/2021 14:50;365
23/11/2021 15:00;383
23/11/2021 15:10;381
23/11/2021 15:20;373
23/11/2021 15:30;393
23/11/2021 15:40;361
23/11/2021 15:50;393
23/11/2021 16:00;357
23/11/2021 16:10;369
23/11/2021 16:20;369
23/11/2021 16:30;367
23/11/2021 16:40;370
23/11/2021 16:50;368
23/11/2021 17:00;371
23/11/2021 17:10;354
23/11/2021 17:20;357
23/11/2021 17:30;378
23/11/2021 17:40;355
23/11/2021 17:50;377
23/11/2021 18:00;374
23/11/2021 18:10;373
23/11/2021 18:20;372
23/11/2021 18:30;372
23/11/2021 18:40;386
23/11/2021 18:50;350
23/11/2021 19:00;374
23/11/2021 19:10;387
23/11/2021 19:20;376
23/11/2021 19:30;370
23/11/2021 19:40;388
23/11/2021 19:50;350
23/11/2021 20:00;388
23/11/2021 20:10;376
23/11/2021 20:20;367
23/11/2021 20:30;345
23/11/2021 20:40;331
23/11/2021 20:50;332
23/11/2021 21:00;326
23/11/2021 21:10;322
23/11/2021 21:20;320
23/11/2021 21:30;315
23/11/2021 21:40;295
23/11/2021 21:50;281
23/11/2021 22:00;275
23/11/2021 22:10;272
23/11/2021 22:20;270
23/11/2021 22:30;272
23/11/2021 22:40;264
23/11/2021 22:50;273
23/11/2021 23:00;273
23/11/2021 23:10;274
23/11/2021 23:20;274
23/11/2021 23:30;271
23/11/2021 23:40;272
23/11/2021 23:50;272
24/11/2021 00:00;258
24/11/2021 00:10;255
24/11/2021 00:20;256
24/11/2021 00:30;258
24/11/2021 00:40;258
24/11/2021 00:50;258
24/11/2021 01:00;257
24/11/2021 01:10;268
24/11/2021 01:20;275
24/11/2021 01:30;272
24/11/2021 01:40;273
24/11/2021 01:50;273
24/11/2021 02:00;271
24/11/2021 02:10;270
24/11/2021 02:20;271
24/11/2021 02:30;270
24/11/2021 02:40;271
24/11/2021 02:50;264
24/11/2021 03:00;267
24/11/2021 03:10;267
24/11/2021 03:20;267
24/11/2021 03:30;266
24/11/2021 03:40;267
24/11/2021 03:50;267
24/11/2021 04:00;267
24/11/2021 04:10;270
24/11/2021 04:20;274
24/11/2021 04:30;274
24/11/2021 04:40;280
24/11/2021 04:50;281
24/11/2021 05:00;281
