date,heure,consomation
2021-11-23,00:00,101.0
2021-11-23,00:10,96.0
2021-11-23,00:20,102.0
2021-11-23,00:30,103.0
2021-11-23,00:40,99.0
2021-11-23,00:50,96.0
2021-11-23,01:00,101.0
2021-11-23,01:10,96.0
2021-11-23,01:20,98.0
2021-11-23,01:30,101.0
2021-11-23,01:40,99.0
2021-11-23,01:50,94.0
2021-11-23,02:00,104.0
2021-11-23,02:10,98.0
2021-11-23,02:20,96.0
2021-11-23,02:30,96.0
2021-11-23,02:40,91.0
2021-11-23,02:50,99.0
2021-11-23,03:00,99.0
2021-11-23,03:10,99.0
2021-11-23,03:20,100.0
2021-11-23,03:30,105.0
2021-11-23,03:40,100.0
2021-11-23,03:50,112.0
2021-11-23,04:00,111.0
2021-11-23,04:10,105.0
2021-11-23,04:20,104.0
2021-11-23,04:30,106.0
2021-11-23,04:40,107.0
2021-11-23,04:50,115.0
2021-11-23,05:00,135.0
2021-11-23,05:10,168.0
2021-11-23,05:20,158.0
2021-11-23,05:30,183.0
2021-11-23,05:40,168.0
2021-11-23,05:50,179.0
2021-11-23,06:00,266.0
2021-11-23,06:10,298.0
2021-11-23,06:20,283.0
2021-11-23,06:30,289.0
2021-11-23,06:40,368.0
2021-11-23,06:50,309.0
2021-11-23,07:00,298.0
2021-11-23,07:10,321.0
2021-11-23,07:20,321.0
2021-11-23,07:30,315.0
2021-11-23,07:40,301.0
2021-11-23,07:50,298.0
2021-11-23,08:00,282.0
2021-11-23,08:10,293.0
2021-11-23,08:20,283.0
2021-11-23,08:30,292.0
2021-11-23,08:40,307.0
2021-11-23,08:50,303.0
2021-11-23,09:00,291.0
2021-11-23,09:10,294.0
2021-11-23,09:20,303.0
2021-11-23,09:30,296.0
2021-11-23,09:40,273.0
2021-11-23,09:50,307.0
2021-11-23,10:00,278.0
2021-11-23,10:10,270.0
2021-11-23,10:20,251.0
2021-11-23,10:30,272.0
2021-11-23,10:40,266.0
2021-11-23,10:50,309.0
2021-11-23,11:00,336.0
2021-11-23,11:10,328.0
2021-11-23,11:20,284.0
2021-11-23,11:30,256.0
2021-11-23,11:40,239.0
2021-11-23,11:50,234.0
2021-11-23,12:00,236.0
2021-11-23,12:10,240.0
2021-11-23,12:20,253.0
2021-11-23,12:30,228.0
2021-11-23,12:40,219.0
2021-11-23,12:50,201.0
2021-11-23,13:00,174.0
2021-11-23,13:10,178.0
2021-11-23,13:20,180.0
2021-11-23,13:30,158.0
2021-11-23,13:40,144.0
2021-11-23,13:50,138.0
2021-11-23,14:00,155.0
2021-11-23,14:10,144.0
2021-11-23,14:20,144.0
2021-11-23,14:30,143.0
2021-11-23,14:40,144.0
2021-11-23,14:50,130.0
2021-11-23,15:00,129.0
2021-11-23,15:10,136.0
2021-11-23,15:20,139.0
2021-11-23,15:30,131.0
2021-11-23,15:40,141.0
2021-11-23,15:50,143.0
2021-11-23,16:00,139.0
2021-11-23,16:10,148.0
2021-11-23,16:20,134.0
2021-11-23,16:30,132.0
2021-11-23,16:40,137.0
2021-11-23,16:50,135.0
2021-11-23,17:00,138.0
2021-11-23,17:10,131.0
2021-11-23,17:20,122.0
2021-11-23,17:30,125.0
2021-11-23,17:40,125.0
2021-11-23,17:50,128.0
2021-11-23,18:00,129.0
2021-11-23,18:10,143.0
2021-11-23,18:20,140.0
2021-11-23,18:30,136.0
2021-11-23,18:40,127.0
2021-11-23,18:50,128.0
2021-11-23,19:00,129.0
2021-11-23,19:10,128.0
2021-11-23,19:20,124.0
2021-11-23,19:30,125.0
2021-11-23,19:40,126.0
2021-11-23,19:50,122.0
2021-11-23,20:00,128.0
2021-11-23,20:10,124.0
2021-11-23,20:20,125.0
2021-11-23,20:30,121.0
2021-11-23,20:40,119.0
2021-11-23,20:50,117.0
2021-11-23,21:00,119.0
2021-11-23,21:10,124.0
2021-11-23,21:20,124.0
2021-11-23,21:30,126.0
2021-11-23,21:40,123.0
2021-11-23,21:50,120.0
2021-11-23,22:00,119.0
2021-11-23,22:10,114.0
2021-11-23,22:20,110.0
2021-11-23,22:30,111.0
2021-11-23,22:40,106.0
2021-11-23,22:50,110.0
2021-11-23,23:00,101.0
2021-11-23,23:10,101.0
2021-11-23,23:20,99.0
2021-11-23,23:30,108.0
2021-11-23,23:40,97.0
2021-11-23,23:50,101.0
2021-11-24,00:00,115.0
2021-11-24,00:10,105.0
2021-11-24,00:20,104.0
2021-11-24,00:30,114.0
2021-11-24,00:40,109.0
2021-11-24,00:50,112.0
2021-11-24,01:00,105.0
2021-11-24,01:10,115.0
2021-11-24,01:20,107.0
2021-11-24,01:30,106.0
2021-11-24,01:40,105.0
2021-11-24,01:50,107.0
2021-11-24,02:00,101.0
2021-11-24,02:10,101.0
2021-11-24,02:20,107.0
2021-11-24,02:30,101.0
2021-11-24,02:40,100.0
2021-11-24,02:50,100.0
2021-11-24,03:00,105.0
2021-11-24,03:10,103.0
2021-11-24,03:20,104.0
2021-11-24,03:30,110.0
2021-11-24,03:40,107.0
2021-11-24,03:50,117.0
2021-11-24,04:00,125.0
2021-11-24,04:10,107.0
2021-11-24,04:20,106.0
2021-11-24,04:30,110.0
2021-11-24,04:40,105.0
2021-11-24,04:50,122.0
2021-11-24,05:00,139.0
2021-11-24,05:10,141.0
2021-11-24,05:20,139.0
2021-11-24,05:30,160.0
2021-11-24,05:40,156.0
2021-11-24,05:50,183.0
2021-11-24,06:00,249.0
2021-11-24,06:10,291.0
2021-11-24,06:20,291.0
2021-11-24,06:30,339.0
2021-11-24,06:40,365.0
2021-11-24,06:50,378.0
2021-11-24,07:00,341.0
2021-11-24,07:10,267.0
2021-11-24,07:20,276.0
2021-11-24,07:30,245.0
2021-11-24,07:40,296.0
2021-11-24,07:50,281.0
2021-11-24,08:00,282.0
2021-11-24,08:10,294.0
2021-11-24,08:20,264.0
2021-11-24,08:30,332.0
2021-11-24,08:40,341.0
2021-11-24,08:50,325.0
2021-11-24,09:00,285.0
2021-11-24,09:10,259.0
2021-11-24,09:20,235.0
2021-11-24,09:30,216.0
2021-11-24,09:40,244.0
2021-11-24,09:50,262.0
2021-11-24,10:00,262.0
2021-11-24,10:10,243.0
2021-11-24,10:20,255.0
2021-11-24,10:30,259.0
2021-11-24,10:40,260.0
2021-11-24,10:50,250.0
2021-11-24,11:00,276.0
2021-11-24,11:10,252.0
2021-11-24,11:20,241.0
2021-11-24,11:30,265.0
2021-11-24,11:40,275.0
2021-11-24,11:50,271.0
2021-11-24,12:00,244.0
2021-11-24,12:10,220.0
2021-11-24,12:20,199.0
2021-11-24,12:30,167.0
2021-11-24,12:40,176.0
2021-11-24,12:50,167.0
2021-11-24,13:00,180.0
2021-11-24,13:10,176.0
2021-11-24,13:20,158.0
2021-11-24,13:30,152.0
2021-11-24,13:40,142.0
2021-11-24,13:50,141.0
2021-11-24,14:00,149.0
2021-11-24,14:10,141.0
2021-11-24,14:20,138.0
2021-11-24,14:30,134.0
2021-11-24,14:40,138.0
2021-11-24,14:50,130.0
2021-11-24,15:00,132.0
2021-11-24,15:10,135.0
2021-11-24,15:20,126.0
2021-11-24,15:30,135.0
2021-11-24,15:40,141.0
2021-11-24,15:50,128.0
2021-11-24,16:00,142.0
2021-11-24,16:10,152.0
2021-11-24,16:20,141.0
2021-11-24,16:30,129.0
2021-11-24,16:40,127.0
2021-11-24,16:50,130.0
2021-11-24,17:00,131.0
2021-11-24,17:10,133.0
2021-11-24,17:20,135.0
2021-11-24,17:30,130.0
2021-11-24,17:40,133.0
2021-11-24,17:50,141.0
2021-11-24,18:00,146.0
2021-11-24,18:10,141.0
2021-11-24,18:20,133.0
2021-11-24,18:30,128.0
2021-11-24,18:40,133.0
2021-11-24,18:50,130.0
2021-11-24,19:00,133.0
2021-11-24,19:10,138.0
2021-11-24,19:20,125.0
2021-11-24,19:30,124.0
2021-11-24,19:40,125.0
2021-11-24,19:50,120.0
2021-11-24,20:00,119.0
2021-11-24,20:10,125.0
2021-11-24,20:20,122.0
2021-11-24,20:30,124.0
2021-11-24,20:40,121.0
2021-11-24,20:50,121.0
2021-11-24,21:00,126.0
2021-11-24,21:10,119.0
2021-11-24,21:20,123.0
2021-11-24,21:30,125.0
2021-11-24,21:40,118.0
2021-11-24,21:50,114.0
2021-11-24,22:00,116.0
2021-11-24,22:10,116.0
2021-11-24,22:20,111.0
2021-11-24,22:30,116.0
2021-11-24,22:40,112.0
2021-11-24,22:50,107.0
2021-11-24,23:00,114.0
2021-11-24,23:10,111.0
2021-11-24,23:20,108.0
2021-11-24,23:30,118.0
2021-11-24,23:40,118.0
2021-11-24,23:50,114.0
2021-11-25,00:00,109.0
2021-11-25,00:10,111.0
2021-11-25,00:20,105.0
2021-11-25,00:30,108.0
2021-11-25,00:40,108.0
2021-11-25,00:50,107.0
2021-11-25,01:00,108.0
2021-11-25,01:10,106.0
2021-11-25,01:20,112.0
2021-11-25,01:30,118.0
2021-11-25,01:40,111.0
2021-11-25,01:50,115.0
2021-11-25,02:00,112.0
2021-11-25,02:10,110.0
2021-11-25,02:20,112.0
2021-11-25,02:30,108.0
2021-11-25,02:40,109.0
2021-11-25,02:50,111.0
