date,heure,consomation
2021-11-23,00:00,906.0
2021-11-23,00:10,915.0
2021-11-23,00:20,914.0
2021-11-23,00:30,911.0
2021-11-23,00:40,914.0
2021-11-23,00:50,913.0
2021-11-23,01:00,910.0
2021-11-23,01:10,924.0
2021-11-23,01:20,918.0
2021-11-23,01:30,927.0
2021-11-23,01:40,919.0
2021-11-23,01:50,911.0
2021-11-23,02:00,898.0
2021-11-23,02:10,908.0
2021-11-23,02:20,916.0
2021-11-23,02:30,915.0
2021-11-23,02:40,909.0
2021-11-23,02:50,897.0
2021-11-23,03:00,882.0
2021-11-23,03:10,862.0
2021-11-23,03:20,858.0
2021-11-23,03:30,871.0
2021-11-23,03:40,855.0
2021-11-23,03:50,850.0
2021-11-23,04:00,845.0
2021-11-23,04:10,846.0
2021-11-23,04:20,831.0
2021-11-23,04:30,841.0
2021-11-23,04:40,828.0
2021-11-23,04:50,832.0
2021-11-23,05:00,850.0
2021-11-23,05:10,823.0
2021-11-23,05:20,890.0
2021-11-23,05:30,920.0
2021-11-23,05:40,932.0
2021-11-23,05:50,1010.0
2021-11-23,06:00,1048.0
2021-11-23,06:10,1040.0
2021-11-23,06:20,1044.0
2021-11-23,06:30,1014.0
2021-11-23,06:40,1027.0
2021-11-23,06:50,1031.0
2021-11-23,07:00,1020.0
2021-11-23,07:10,1015.0
2021-11-23,07:20,1019.0
2021-11-23,07:30,1011.0
2021-11-23,07:40,1048.0
2021-11-23,07:50,1068.0
2021-11-23,08:00,1054.0
2021-11-23,08:10,1065.0
2021-11-23,08:20,1063.0
2021-11-23,08:30,1072.0
2021-11-23,08:40,1084.0
2021-11-23,08:50,1091.0
2021-11-23,09:00,1108.0
2021-11-23,09:10,1103.0
2021-11-23,09:20,1117.0
2021-11-23,09:30,1136.0
2021-11-23,09:40,1098.0
2021-11-23,09:50,1128.0
2021-11-23,10:00,1109.0
2021-11-23,10:10,1091.0
2021-11-23,10:20,1096.0
2021-11-23,10:30,1065.0
2021-11-23,10:40,1084.0
2021-11-23,10:50,1069.0
2021-11-23,11:00,1083.0
2021-11-23,11:10,1084.0
2021-11-23,11:20,1075.0
2021-11-23,11:30,992.0
2021-11-23,11:40,1003.0
2021-11-23,11:50,1031.0
2021-11-23,12:00,1084.0
2021-11-23,12:10,1120.0
2021-11-23,12:20,1106.0
2021-11-23,12:30,1065.0
2021-11-23,12:40,1037.0
2021-11-23,12:50,1031.0
2021-11-23,13:00,1015.0
2021-11-23,13:10,1005.0
2021-11-23,13:20,997.0
2021-11-23,13:30,963.0
2021-11-23,13:40,972.0
2021-11-23,13:50,1017.0
2021-11-23,14:00,996.0
2021-11-23,14:10,1038.0
2021-11-23,14:20,1037.0
2021-11-23,14:30,1039.0
2021-11-23,14:40,1021.0
2021-11-23,14:50,1023.0
2021-11-23,15:00,1039.0
2021-11-23,15:10,1066.0
2021-11-23,15:20,1076.0
2021-11-23,15:30,1076.0
2021-11-23,15:40,1067.0
2021-11-23,15:50,1076.0
2021-11-23,16:00,1036.0
2021-11-23,16:10,1048.0
2021-11-23,16:20,1063.0
2021-11-23,16:30,1053.0
2021-11-23,16:40,1069.0
2021-11-23,16:50,1072.0
2021-11-23,17:00,1048.0
